audio,transcription,normalized_transcription
train-0001,Mera home screen hai jaha main busy bilkul bhee. Yah mera main hai jahaan par main kaam,Mera home screen hai jaha main busy bilkul bhee. Yah mera main hai jahaan par main kaam
train-0002,Then there is a third screen third screen mein. And yah baasath by design,Then there is a third screen third screen mein. And yah baasath by design
train-0003,Kyonki so yah hai mere saare apps investments ke use karata. I,Kyonki so yah hai mere saare apps investments ke use karata. I
train-0004,Want to take an extra step to go the social media word jis apps,Want to take an extra step to go the social media word jis apps
train-0005,Dekh sakate hain ki aap kaise camera saaph yah saaph kar rahe hain Don't ask ask. Aap mein.,Dekh sakate hain ki aap kaise camera saaph yah saaph kar rahe hain Don't ask ask. Aap mein.
train-0006,Kya hai mere phone par kaun kaun se apps use karata hoon? Dekhenge is video mein.,Kya hai mere phone par kaun kaun se apps use karata hoon? Dekhenge is video mein.
train-0007,Sabase pahala mera lock cream. To mera lock screen jo hai vo not surprise,Sabase pahala mera lock cream. To mera lock screen jo hai vo not surprise
train-0008,Lee hai yah video mein twenty second jan,Lee hai yah video mein twenty second jan
train-0009,Ko record kar raha hoon and kareeb saadhe chhah baje baje,Ko record kar raha hoon and kareeb saadhe chhah baje baje
train-0010,Shaam ko? To yah hai mera loss and,Shaam ko? To yah hai mera loss and
train-0011,Isako swipe karake yah aata hai mera obs screen. Mera host ke,Isako swipe karake yah aata hai mera obs screen. Mera host ke
train-0012,Agar aap dekhenge bahut clean hai. Kuchh bhee nahin hai and the reason is ki bhee jab,Agar aap dekhenge bahut clean hai. Kuchh bhee nahin hai and the reason is ki bhee jab
train-0013,Bhee apana phone kholo to mujhe distraction nahin chaahie. Yah mera home gain hoga aur hamesha isee,Bhee apana phone kholo to mujhe distraction nahin chaahie. Yah mera home gain hoga aur hamesha isee
train-0014,Par khulega bottom of the screen par aapake phone ho gaya mera,Par khulega bottom of the screen par aapake phone ho gaya mera
train-0015,"Gmail ho gaya, calendar ho gaya aur browser ho gaya. Yah chaar cheezen hain jo sabase zyaada use","Gmail ho gaya, calendar ho gaya aur browser ho gaya. Yah chaar cheezen hain jo sabase zyaada use"
train-0016,"Actually phone to bahut hee kam use karata hoon. Lekin apana gmail aur apana calendar, is","Actually phone to bahut hee kam use karata hoon. Lekin apana gmail aur apana calendar, is"
train-0017,And yah hai ek hee app screen par which is calm,And yah hai ek hee app screen par which is calm
train-0018,App jo main meditation ke lie use karata hoon. Is app se main har roz,App jo main meditation ke lie use karata hoon. Is app se main har roz
train-0019,"Subah tees minute meditate karata hoon. Chidiya, hava aur paanee","Subah tees minute meditate karata hoon. Chidiya, hava aur paanee"
train-0020,Aavaaz. To koee guide nahin kar raha hota ki lambee saanse bhee chaahie karie vah karie. It same,Aavaaz. To koee guide nahin kar raha hota ki lambee saanse bhee chaahie karie vah karie. It same
train-0021,"Leave be listening to the song sounds of birds, water and hair you know","Leave be listening to the song sounds of birds, water and hair you know"
train-0022,Ke chalate tees minute tak bilkul sukoon ke saath apanee saanson par dhyaan de,Ke chalate tees minute tak bilkul sukoon ke saath apanee saanson par dhyaan de
train-0023,Kar I meditate aur phir hai mera first cream.,Kar I meditate aur phir hai mera first cream.
train-0024,Is par bahut saare apps hain to ke karake. Sabase pahale? Sir,Is par bahut saare apps hain to ke karake. Sabase pahale? Sir
train-0025,Settings setting kyonki kaaphee baar kuchh par kar rahata hoon to vah hai klok clock par agar,Settings setting kyonki kaaphee baar kuchh par kar rahata hoon to vah hai klok clock par agar
train-0026,Dekhenge to koee al vagairah nahin hai subah ka. Subah mein automatically around,Dekhenge to koee al vagairah nahin hai subah ka. Subah mein automatically around
train-0027,Saadhe chaar baje jaata hoon phir ke chaar,Saadhe chaar baje jaata hoon phir ke chaar
train-0028,Pachaas paanch baje ke kareeb I get up and get done. To on,Pachaas paanch baje ke kareeb I get up and get done. To on
train-0029,To kuchh nahin hai. Ca hai and then there is music.,To kuchh nahin hai. Ca hai and then there is music.
train-0030,Music mein I have a subscription to Apple music to aapakee music ke chalate saara news,Music mein I have a subscription to Apple music to aapakee music ke chalate saara news
train-0031,Main vagairah use nahin karata hoon to Apple music par mera poora subscription.,Main vagairah use nahin karata hoon to Apple music par mera poora subscription.
train-0032,Then there is Amazon and Amazon par bahut zyaada cheezen khareed,Then there is Amazon and Amazon par bahut zyaada cheezen khareed
train-0033,Hamaara poora business account bhee Amazon par hee hai. So is kee cheezen to khareed plus,Hamaara poora business account bhee Amazon par hee hai. So is kee cheezen to khareed plus
train-0034,All the things that I have to buy for my daily work ya kuchh bhee oil all of that happen,All the things that I have to buy for my daily work ya kuchh bhee oil all of that happen
train-0035,On Amazon. Faith photos and this is a section,On Amazon. Faith photos and this is a section
train-0036,That aae could be use phir usake baad camera then there something called,That aae could be use phir usake baad camera then there something called
train-0037,Aaj band band Apple ka in house app hai jo ki voice,Aaj band band Apple ka in house app hai jo ki voice
train-0038,Ke lie use hota hai. To jab kabeer main apane phone se kuchh record kar raha hoon where there is,Ke lie use hota hai. To jab kabeer main apane phone se kuchh record kar raha hoon where there is
train-0039,Camera lekin usamen mic nahin hai and mujhe phone se recording karanee ho. I use kar,Camera lekin usamen mic nahin hai and mujhe phone se recording karanee ho. I use kar
train-0040,Kyonki usakee jo voice recording hai usakee quality kaaphee high rahatee hai. Then I hai,Kyonki usakee jo voice recording hai usakee quality kaaphee high rahatee hai. Then I hai
train-0041,Have Paytm and Paytm is my number one payment app mein Google pay,Have Paytm and Paytm is my number one payment app mein Google pay
train-0042,Use nahin karata hoon yah promoted post nahin hai. Kisee bhee brand ka hai jo naam loonga is video mein unhonne,Use nahin karata hoon yah promoted post nahin hai. Kisee bhee brand ka hai jo naam loonga is video mein unhonne
train-0043,Paisa nahin diya hai apana naam bolane ke lie then there is Google to Google ka app hai,Paisa nahin diya hai apana naam bolane ke lie then there is Google to Google ka app hai
train-0044,Google ke app ko main zyaadaatar image search ke lie use karata hoon. Not anything else to,Google ke app ko main zyaadaatar image search ke lie use karata hoon. Not anything else to
train-0045,Scan kiya and usase kuchh bhee jo raha hoga vo mil jaega and then there is aasaan,Scan kiya and usase kuchh bhee jo raha hoga vo mil jaega and then there is aasaan
train-0046,Is interesting kyonki par hamaaree pooree vaar kee duniya,Is interesting kyonki par hamaaree pooree vaar kee duniya
train-0047,Hai. To every individual in my team unako pata hai ki unako kaun sa task karana,Hai. To every individual in my team unako pata hai ki unako kaun sa task karana
train-0048,"Hai, kab tak karana hai and then they have to go about doing it. To mere tasks aap dekh","Hai, kab tak karana hai and then they have to go about doing it. To mere tasks aap dekh"
train-0049,Rahenge ki mujhe kya kya cheezen karanee hai to abhee Monday ko weekly business review jo hota,Rahenge ki mujhe kya kya cheezen karanee hai to abhee Monday ko weekly business review jo hota
train-0050,Hai to saare platforms ka number likhana hota hai to main it twitter ka charge ho to mujhe twitter ka likhana hota hai,Hai to saare platforms ka number likhana hota hai to main it twitter ka charge ho to mujhe twitter ka likhana hota hai
train-0051,"Podcast shoot karana hai, video shoot karane hain, Youtube shorts, Instagram raised vo saaree cheezen","Podcast shoot karana hai, video shoot karane hain, Youtube shorts, Instagram raised vo saaree cheezen"
train-0052,So all of that is my task aise hee har ek member ke apane task bhee hote hain.,So all of that is my task aise hee har ek member ke apane task bhee hote hain.
train-0053,They get it done jab ho jaata hai they just selected. Phir hai audible aur,They get it done jab ho jaata hai they just selected. Phir hai audible aur
train-0054,Use karata for audio App and this,Use karata for audio App and this
train-0055,Listen to all my audio books. Usake baad hai,Listen to all my audio books. Usake baad hai
train-0056,Social ka ek bada sa fold hai. Isako mainne alag alag se apps banae hue hain,Social ka ek bada sa fold hai. Isako mainne alag alag se apps banae hue hain
train-0057,Because I want to take an extra step to go the social media one.,Because I want to take an extra step to go the social media one.
train-0058,Varana to gum ghoomee ho jaate hain. Social media world mein ghusane par first,Varana to gum ghoomee ho jaate hain. Social media world mein ghusane par first
train-0059,"Is Twitter ya x then is Linkedin phir hai Instagram, Youtube ka studio","Is Twitter ya x then is Linkedin phir hai Instagram, Youtube ka studio"
train-0060,Phir hamaara khud ka jo community app hai which we call Epic crew threads,Phir hamaara khud ka jo community app hai which we call Epic crew threads
train-0061,Kee bahut hee kam use hota hai Facebook and Facebook ko mein sirph use karata hoon memories ke lie to har subah jab mein,Kee bahut hee kam use hota hai Facebook and Facebook ko mein sirph use karata hoon memories ke lie to har subah jab mein
train-0062,Hoon. Ek baar zyaada hoon dekhata hoon ki das saal pahale pandrah saal pahale solah saal pahale main,Hoon. Ek baar zyaada hoon dekhata hoon ki das saal pahale pandrah saal pahale solah saal pahale main
train-0063,Kya random cheezen likhee thee which is always fun. See air chat bahut kam use,Kya random cheezen likhee thee which is always fun. See air chat bahut kam use
train-0064,Hota hai discord bahut hee kam use hota hai when there is sc kaaphee use hota hai. Linkedin,Hota hai discord bahut hee kam use hota hai when there is sc kaaphee use hota hai. Linkedin
train-0065,"Jisamen main apane links vagairah manage karata hoon, phir business sweet hai of","Jisamen main apane links vagairah manage karata hoon, phir business sweet hai of"
train-0066,I think this is is this aap this is Facebook,I think this is is this aap this is Facebook
train-0067,Yes bahut ka use sakata hoon clearly. Agala house hai pahale use karata tha ab to nahin Google ad,Yes bahut ka use sakata hoon clearly. Agala house hai pahale use karata tha ab to nahin Google ad
train-0068,Hai messenger hain and ads manager hai. To this is my social word. Pahale screen par main zyaadaatar rahata hoon as it,Hai messenger hain and ads manager hai. To this is my social word. Pahale screen par main zyaadaatar rahata hoon as it
train-0069,Can imagine and then there is messaging. Messaging mein hai There is Whatsapp. There,Can imagine and then there is messaging. Messaging mein hai There is Whatsapp. There
train-0070,Eye message jo ki Sms hai and then there is the Whatsapp business which is what I use,Eye message jo ki Sms hai and then there is the Whatsapp business which is what I use
train-0071,Fine business purposes. Then there is notion. Notion ek note taking apple,Fine business purposes. Then there is notion. Notion ek note taking apple
train-0072,Jisamen main apane thoughts vagairah apane notes vagairah record karata hoon to kuchh bhee ho raha ho,Jisamen main apane thoughts vagairah apane notes vagairah record karata hoon to kuchh bhee ho raha ho
